rgn_id,r0_label,r1_label,r2_label,rgn_label,rgn_label_2,year,score_wgi_scale,score,gap_fill
75,World,Europe,Eastern Europe,Ukraine,Ukraine,2018,-0.677782333,0.364443533,0
76,World,Asia,Western Asia,Turkey,Turkey,2018,-0.4762975,0.4047405,0
77,World,Asia,Western Asia,Syria,Syria,NA,NA,NA,NA
78,World,Asia,Western Asia,Lebanon,Lebanon,2018,-0.833200967,0.333359807,0
79,World,Asia,Western Asia,Israel,Israel,2018,0.659117783,0.631823557,0
80,World,Europe,Southern Europe,Greece,Greece,2018,0.278355367,0.555671073,0
81,World,Asia,Western Asia,Cyprus,Cyprus,2018,0.818842433,0.663768487,0
82,World,Europe,Southern Europe,Albania,Albania,2018,0.011809667,0.502361933,0
84,World,Africa,Northern Africa,Algeria,Algeria,2018,-0.8157032,0.33685936,0
85,World,Europe,Northern Europe,Ascension,Ascension,NA,NA,NA,NA
86,World,Europe,Northern Europe,Saint Helena,Saint Helena,NA,NA,NA,NA
88,World,Europe,Northern Europe,Tristan da Cunha,Tristan da Cunha,NA,NA,NA,NA
89,World,Southern Islands,Southern Islands,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,NA,NA,NA,NA
90,World,Southern Islands,Southern Islands,Prince Edward Islands,Prince Edward Islands,NA,NA,NA,NA
91,World,Southern Islands,Southern Islands,Crozet Islands,Crozet Islands,NA,NA,NA,NA
92,World,Southern Islands,Southern Islands,Amsterdam Island and Saint Paul Island,Amsterdam Island and Saint Paul Island,NA,NA,NA,NA
93,World,Southern Islands,Southern Islands,Kerguelen Islands,Kerguelen Islands,NA,NA,NA,NA
94,World,Southern Islands,Southern Islands,Heard and McDonald Islands,Heard and McDonald Islands,NA,NA,NA,NA
95,World,Europe,Northern Europe,Falkland Islands,Falkland Islands,NA,NA,NA,NA
96,World,Africa,Western Africa,Sierra Leone,Sierra Leone,2018,-0.5866189,0.38267622,0
97,World,Africa,Western Africa,Liberia,Liberia,2018,-0.731310717,0.353737857,0
98,World,Africa,Western Africa,Togo,Togo,2018,-0.791940983,0.341611803,0
99,World,Africa,Western Africa,Benin,Benin,2018,-0.304775767,0.439044847,0
100,World,Africa,Middle Africa,Republique du Congo,Republique du Congo,NA,NA,NA,NA
101,World,Africa,Southern Africa,Namibia,Namibia,2018,0.29648915,0.55929783,0
102,World,Africa,Southern Africa,South Africa,South Africa,2018,0.1281571,0.52563142,0
103,World,Africa,Middle Africa,Sao Tome and Principe,Sao Tome and Principe,2018,-0.21598405,0.45680319,0
104,World,Africa,Middle Africa,Equatorial Guinea,Equatorial Guinea,2018,-1.290404367,0.241919127,0
105,World,Southern Islands,Southern Islands,Bouvet Island,Bouvet Island,NA,NA,NA,NA
106,World,Africa,Western Africa,Ghana,Ghana,2018,0.04587915,0.50917583,0
107,World,Latin America and the Caribbean,Central America,Clipperton Island,Clipperton Island,NA,NA,NA,NA
108,World,Latin America and the Caribbean,Caribbean,Bermuda,Bermuda,2018,1.090108383,0.718021677,1
110,World,Latin America and the Caribbean,Caribbean,Bahamas,Bahamas,NA,NA,NA,NA
111,World,Latin America and the Caribbean,Caribbean,Turks and Caicos Islands,Turks and Caicos Islands,NA,NA,NA,NA
112,World,Latin America and the Caribbean,Caribbean,Cuba,Cuba,2018,-0.462036983,0.407592603,0
113,World,Latin America and the Caribbean,Caribbean,Cayman Islands,Cayman Islands,2018,0.849155033,0.669831007,0
114,World,Latin America and the Caribbean,Caribbean,Haiti,Haiti,2018,-1.133138283,0.273372343,0
115,World,Latin America and the Caribbean,Caribbean,Dominican Republic,Dominican Republic,2018,-0.241812817,0.451637437,0
116,World,Latin America and the Caribbean,Caribbean,Puerto Rico and Virgin Islands of the United States,Puerto Rico and Virgin Islands of the United States,NA,NA,NA,NA
117,World,Latin America and the Caribbean,Caribbean,British Virgin Islands,British Virgin Islands,NA,NA,NA,NA
118,World,Latin America and the Caribbean,Caribbean,Anguilla,Anguilla,2018,0.842925835,0.668585167,1
119,World,Latin America and the Caribbean,Caribbean,Saint Kitts and Nevis,Saint Kitts and Nevis,NA,NA,NA,NA
120,World,Latin America and the Caribbean,Caribbean,Antigua and Barbuda,Antigua and Barbuda,2018,0.403362833,0.580672567,0
