species_id,sciname,kingdom,phylum,tot_count_cells,num_countries,xbd
W-Msc-420342,Ithycythara lanceolata,Animalia,Mollusca,825,35,transboundary
W-Msc-420343,Ithycythara parkeri,Animalia,Mollusca,351,20,transboundary
W-Msc-420344,Ithycythara psila,Animalia,Mollusca,799,35,transboundary
W-Msc-420345,Kurtziella atrostyla,Animalia,Mollusca,578,33,transboundary
W-Msc-420356,Pyrgocythara filosa,Animalia,Mollusca,267,15,transboundary
W-Msc-420362,Tenaturris inepta,Animalia,Mollusca,589,29,transboundary
W-Msc-420368,Daphnella corbicula,Animalia,Mollusca,994,41,transboundary
W-Msc-420373,Daphnella lymneiformis,Animalia,Mollusca,458,28,transboundary
W-Msc-420374,Daphnella margaretae,Animalia,Mollusca,374,21,transboundary
W-Msc-420377,Daphnella retifera,Animalia,Mollusca,656,29,transboundary
W-Msc-420380,Eucyclotoma stegeri,Animalia,Mollusca,346,28,transboundary
W-Msc-420386,Pleurotomella circumvoluta,Animalia,Mollusca,121,25,transboundary
W-Msc-420389,Pleurotomella ipara,Animalia,Mollusca,540,19,transboundary
W-Msc-420393,Strictispira paxillus,Animalia,Mollusca,499,37,transboundary
W-Msc-420395,Gemmula periscelida,Animalia,Mollusca,1091,42,transboundary
W-Msc-420396,Polystira albida,Animalia,Mollusca,1157,42,transboundary
W-Msc-420397,Polystira florencae,Animalia,Mollusca,879,39,transboundary
W-Msc-420398,Polystira tellea,Animalia,Mollusca,794,41,transboundary
W-Msc-420399,Polystira vibex,Animalia,Mollusca,837,42,transboundary
W-Msc-420400,Compsodrillia acestra,Animalia,Mollusca,636,26,transboundary
W-Msc-420403,Compsodrillia eucosmia,Animalia,Mollusca,838,40,transboundary
W-Msc-420404,Compsodrillia haliostrephis,Animalia,Mollusca,413,27,transboundary
W-Msc-420406,Compsodrillia tristicha,Animalia,Mollusca,681,41,transboundary
W-Msc-420409,Pilsbryspira leucocyma,Animalia,Mollusca,593,35,transboundary
W-Msc-420414,Rissoella caribaea,Animalia,Mollusca,625,33,transboundary
W-Msc-420417,Architectonica uruguaya,Animalia,Mollusca,429,5,transboundary
W-Msc-420420,Spirolaxis centrifugus,Animalia,Mollusca,529,35,transboundary
W-Msc-420421,Spirolaxis lamelliferus,Animalia,Mollusca,685,27,transboundary
W-Msc-420437,Boonea impressa,Animalia,Mollusca,824,27,transboundary
W-Msc-420438,Boonea seminuda,Animalia,Mollusca,1222,28,transboundary
W-Msc-420457,Odostomia laevigata,Animalia,Mollusca,1010,42,transboundary
W-Msc-420459,Pseudoscilla babylonia,Animalia,Mollusca,1127,38,transboundary
W-Msc-420464,Peristichia agria,Animalia,Mollusca,558,29,transboundary
W-Msc-420467,Petitilla crosseana,Animalia,Mollusca,345,21,transboundary
W-Msc-420476,Rissopsetia hummelincki,Animalia,Mollusca,195,15,transboundary
W-Msc-420480,Turbonilla conradi,Animalia,Mollusca,305,18,transboundary
W-Msc-420482,Turbonilla curta,Animalia,Mollusca,838,35,transboundary
W-Msc-420483,Turbonilla dalli,Animalia,Mollusca,299,16,transboundary
W-Msc-420487,Turbonilla hemphilli,Animalia,Mollusca,714,35,transboundary
W-Msc-420495,Turbonilla puncta,Animalia,Mollusca,746,33,transboundary
W-Msc-420497,Turbonilla pupoides,Animalia,Mollusca,1126,41,transboundary
W-Msc-420503,Turbonilla textilis,Animalia,Mollusca,390,22,transboundary
W-Msc-420508,Ringicula semistriata,Animalia,Mollusca,1377,47,transboundary
W-Msc-420509,Acteon candens,Animalia,Mollusca,655,28,transboundary
W-Msc-420511,Acteon delicatus,Animalia,Mollusca,665,39,transboundary
W-Msc-420512,Acteon incisus,Animalia,Mollusca,697,39,transboundary
W-Msc-420513,Acteon perforatus,Animalia,Mollusca,777,41,transboundary
W-Msc-420514,Japonactaeon punctostriatus,Animalia,Mollusca,705,32,transboundary
W-Msc-420516,Mysouffa cumingii,Animalia,Mollusca,1023,42,transboundary
W-Msc-420522,Bulla solida,Animalia,Mollusca,847,40,transboundary
W-Msc-420524,Haminoea antillarum,Animalia,Mollusca,626,40,transboundary
W-Msc-420526,Haminoea succinea,Animalia,Mollusca,899,40,transboundary
W-Msc-420528,Chelidonura hirundinina,Animalia,Mollusca,3788,100,transboundary
W-Msc-420530,Acteocina atrata,Animalia,Mollusca,421,22,transboundary
W-Msc-420531,Acteocina bullata,Animalia,Mollusca,1075,37,transboundary
W-Msc-420532,Acteocina candei,Animalia,Mollusca,1597,53,transboundary
W-Msc-420533,Acteocina inconspicua,Animalia,Mollusca,89,12,transboundary
W-Msc-420534,Acteocina lepta,Animalia,Mollusca,1710,55,transboundary
W-Msc-420536,Acteocina recta,Animalia,Mollusca,412,25,transboundary
W-Msc-420537,Cylichna verrilli,Animalia,Mollusca,1571,50,transboundary
W-Msc-420538,Acteocina bidentata,Animalia,Mollusca,2035,49,transboundary
W-Msc-420541,Scaphander pilsbryi,Animalia,Mollusca,791,20,transboundary
W-Msc-420542,Scaphander watsoni,Animalia,Mollusca,893,44,transboundary
W-Msc-420543,Gastropteron chacmol,Animalia,Mollusca,705,44,transboundary
W-Msc-420545,Philine infundibulum,Animalia,Mollusca,879,40,transboundary
W-Msc-420549,Retusa sulcata,Animalia,Mollusca,4380,67,transboundary
W-Msc-420551,Volvulella paupercula,Animalia,Mollusca,2044,53,transboundary
W-Msc-420553,Volvulella texasiana,Animalia,Mollusca,1085,17,transboundary
W-Msc-420554,Cylindrobulla beauii,Animalia,Mollusca,515,32,transboundary
W-Msc-420559,Corolla ovata,Animalia,Mollusca,993,46,transboundary
W-Msc-420565,Lobiger souverbii,Animalia,Mollusca,4248,98,transboundary
W-Msc-420571,Elysia cornigera,Animalia,Mollusca,1260,48,transboundary
W-Msc-420572,Elysia crispata,Animalia,Mollusca,600,35,transboundary
W-Msc-420573,Elysia patina,Animalia,Mollusca,724,35,transboundary
W-Msc-420574,Elysia serca,Animalia,Mollusca,772,32,transboundary
W-Msc-420575,Elysia tuca,Animalia,Mollusca,1099,48,transboundary
W-Msc-420577,Cyerce antillensis,Animalia,Mollusca,680,44,transboundary
W-Msc-420580,Costasiella nonatoi,Animalia,Mollusca,893,48,transboundary
W-Msc-420581,Costasiella ocellifera,Animalia,Mollusca,1007,48,transboundary
W-Msc-420583,Tylodina americana,Animalia,Mollusca,759,29,transboundary
W-Msc-420601,Jorunna spazzola,Animalia,Mollusca,397,36,transboundary
W-Msc-420607,Dendrodoris krebsii,Animalia,Mollusca,14,1,singlecountry
W-Msc-420610,Ceratophyllidia papilligera,Animalia,Mollusca,1402,48,transboundary
W-Msc-420619,Armina wattla,Animalia,Mollusca,440,20,transboundary
W-Msc-420630,Flabellina engeli,Animalia,Mollusca,569,29,transboundary
W-Msc-420632,Learchis poica,Animalia,Mollusca,794,47,transboundary
W-Msc-420637,Laemodonta cubensis,Animalia,Mollusca,472,31,transboundary
W-Msc-420644,Pedipes mirabilis,Animalia,Mollusca,650,43,transboundary
W-Msc-420653,Amphioctopus burryi,Animalia,Mollusca,414,26,transboundary
W-Msc-420658,Nucula calcicola,Animalia,Mollusca,118,10,transboundary
W-Msc-420659,Nucula callicredemna,Animalia,Mollusca,341,30,transboundary
W-Msc-420660,Nucula crenulata,Animalia,Mollusca,2389,58,transboundary
W-Msc-420662,Ledella solidula,Animalia,Mollusca,922,42,transboundary
W-Msc-420665,Nuculana concentrica,Animalia,Mollusca,864,27,transboundary
W-Msc-420674,Nuculana carpenteri,Animalia,Mollusca,1597,47,transboundary
W-Msc-420681,Tindaria amabilis,Animalia,Mollusca,598,35,transboundary
W-Msc-420690,Amygdalum sagittatum,Animalia,Mollusca,1475,42,transboundary
W-Msc-420694,Botula fusca,Animalia,Mollusca,1901,61,transboundary
W-Msc-420699,Gregariella coralliophaga,Animalia,Mollusca,2960,70,transboundary
W-Msc-420701,Lioberus castaneus,Animalia,Mollusca,477,18,transboundary
W-Msc-420705,Modiolus americanus,Animalia,Mollusca,826,38,transboundary
W-Msc-420707,Musculus lateralis,Animalia,Mollusca,1048,43,transboundary
W-Msc-420709,Acar domingensis,Animalia,Mollusca,4273,69,transboundary
W-Msc-420711,Anadara floridana,Animalia,Mollusca,662,33,transboundary
W-Msc-420712,Anadara notabilis,Animalia,Mollusca,727,32,transboundary
W-Msc-420713,Arca zebra,Animalia,Mollusca,1479,51,transboundary
W-Msc-420714,Barbatia cancellaria,Animalia,Mollusca,883,41,transboundary
W-Msc-420715,Bathyarca glomerula,Animalia,Mollusca,966,46,transboundary
W-Msc-420720,Fugleria tenera,Animalia,Mollusca,511,28,transboundary
W-Msc-420721,Lunarca ovalis,Animalia,Mollusca,1142,44,transboundary
W-Msc-420724,Arcopsis adamsi,Animalia,Mollusca,1061,44,transboundary
W-Msc-420728,Glycymeris decussata,Animalia,Mollusca,1035,44,transboundary
W-Msc-420729,Glycymeris spectralis,Animalia,Mollusca,720,32,transboundary
W-Msc-420730,Glycymeris undata,Animalia,Mollusca,862,38,transboundary
W-Msc-420731,Tucetona pectinata,Animalia,Mollusca,549,28,transboundary
W-Msc-420734,Pinctada longisquamosa,Animalia,Mollusca,515,28,transboundary
W-Msc-420737,Isognomon bicolor,Animalia,Mollusca,865,44,transboundary
W-Msc-420739,Atrina rigida,Animalia,Mollusca,624,29,transboundary
W-Msc-420740,Atrina seminuda,Animalia,Mollusca,1313,42,transboundary
W-Msc-420741,Atrina serrata,Animalia,Mollusca,535,26,transboundary
W-Msc-420742,Pinna carnea,Animalia,Mollusca,4060,73,transboundary
W-Msc-420748,Divarilima albicoma,Animalia,Mollusca,896,43,transboundary
W-Msc-420749,Lima caribaea,Animalia,Mollusca,570,36,transboundary
W-Msc-420751,Limaria pellucida,Animalia,Mollusca,1682,48,transboundary
W-Msc-420752,Limatula confusa,Animalia,Mollusca,4991,62,transboundary
W-Msc-420755,Limatula setifera,Animalia,Mollusca,1231,52,transboundary
W-Msc-420756,Limea bronniana,Animalia,Mollusca,924,41,transboundary
