iucn_sid,sciname,kingdom,phylum,category,tot_count_cells,num_countries,xbd
7750,Enhydra lutris,ANIMALIA,CHORDATA,EN,20126,5,transboundary
7778,Entomacrodus cadenati,ANIMALIA,CHORDATA,LC,2530,17,transboundary
7854,Epinephelus drummondhayi,ANIMALIA,CHORDATA,DD,6109,3,transboundary
7855,Hyporthodus exsul,ANIMALIA,CHORDATA,LC,2894,7,transboundary
7858,Epinephelus lanceolatus,ANIMALIA,CHORDATA,DD,70680,75,transboundary
7859,Epinephelus marginatus,ANIMALIA,CHORDATA,VU,24195,54,transboundary
7860,Hyporthodus nigritus,ANIMALIA,CHORDATA,NT,11652,14,transboundary
7861,Hyporthodus niveatus,ANIMALIA,CHORDATA,VU,21915,31,transboundary
7862,Epinephelus striatus,ANIMALIA,CHORDATA,CR,10126,38,transboundary
8005,Eretmochelys imbricata,ANIMALIA,CHORDATA,CR,2768250,198,transboundary
8010,Erignathus barbatus,ANIMALIA,CHORDATA,LC,131066,10,transboundary
8097,Eschrichtius robustus,ANIMALIA,CHORDATA,LC,17680,4,transboundary
8099,Eschrichtius robustus,ANIMALIA,CHORDATA,EN,21916,8,transboundary
8153,Eubalaena australis,ANIMALIA,CHORDATA,LC,862724,28,transboundary
8239,Eumetopias jubatus,ANIMALIA,CHORDATA,NT,64791,7,transboundary
8407,Eurypegasus draconis,ANIMALIA,CHORDATA,LC,37649,48,transboundary
8408,Eurypegasus papilio,ANIMALIA,CHORDATA,LC,244,1,singlecountry
8551,Feresa attenuata,ANIMALIA,CHORDATA,LC,2060123,155,transboundary
9249,Globicephala macrorhynchus,ANIMALIA,CHORDATA,LC,2256555,165,transboundary
9250,Globicephala melas,ANIMALIA,CHORDATA,LC,1310261,62,transboundary
9266,Psammogobius biocellatus,ANIMALIA,CHORDATA,LC,23186,25,transboundary
9281,Glyphis gangeticus,ANIMALIA,CHORDATA,CR,4537,4,transboundary
9461,Grampus griseus,ANIMALIA,CHORDATA,LC,2359864,197,transboundary
9660,Halichoerus grypus,ANIMALIA,CHORDATA,LC,29762,16,transboundary
10030,Hexanchus griseus,ANIMALIA,CHORDATA,NT,124233,77,transboundary
10056,Hippocampus capensis,ANIMALIA,CHORDATA,EN,2,1,singlecountry
10057,Hippocampus abdominalis,ANIMALIA,CHORDATA,LC,9913,2,transboundary
10060,Hippocampus bargibanti,ANIMALIA,CHORDATA,DD,27074,14,transboundary
10063,Hippocampus breviceps,ANIMALIA,CHORDATA,LC,6599,1,singlecountry
10064,Hippocampus camelopardalis,ANIMALIA,CHORDATA,DD,2346,3,transboundary
10065,Hippocampus coronatus,ANIMALIA,CHORDATA,DD,2761,3,transboundary
10066,Hippocampus erectus,ANIMALIA,CHORDATA,VU,24489,43,transboundary
10069,Hippocampus hippocampus,ANIMALIA,CHORDATA,DD,16857,37,transboundary
10070,Hippocampus histrix,ANIMALIA,CHORDATA,VU,66988,44,transboundary
10072,Hippocampus ingens,ANIMALIA,CHORDATA,VU,5405,12,transboundary
10074,Hippocampus jayakari,ANIMALIA,CHORDATA,LC,2896,12,transboundary
10077,Hippocampus minotaur,ANIMALIA,CHORDATA,DD,454,1,singlecountry
10082,Hippocampus reidi,ANIMALIA,CHORDATA,NT,15128,42,transboundary
10083,Hippocampus sindonis,ANIMALIA,CHORDATA,LC,80,1,singlecountry
10087,Hippocampus trimaculatus,ANIMALIA,CHORDATA,VU,78311,27,transboundary
10088,Hippocampus whitei,ANIMALIA,CHORDATA,EN,659,1,singlecountry
10089,Hippocampus zosterae,ANIMALIA,CHORDATA,LC,5345,4,transboundary
10269,Huso huso,ANIMALIA,CHORDATA,CR,3339,12,transboundary
10340,Hydrurga leptonyx,ANIMALIA,CHORDATA,LC,213841,3,transboundary
10707,Hyperoodon ampullatus,ANIMALIA,CHORDATA,DD,244413,31,transboundary
10708,Hyperoodon planifrons,ANIMALIA,CHORDATA,LC,919291,20,transboundary
10724,Hypoplectrus providencianus,ANIMALIA,CHORDATA,LC,8048,16,transboundary
10939,Jenkinsia parvula,ANIMALIA,CHORDATA,DD,1865,6,transboundary
11030,Knipowitschia caucasica,ANIMALIA,CHORDATA,LC,4842,11,transboundary
11047,Kogia breviceps,ANIMALIA,CHORDATA,DD,2531222,174,transboundary
11048,Kogia sima,ANIMALIA,CHORDATA,DD,2376770,172,transboundary
