iucn_sid,sciname,kingdom,phylum,category,tot_count_cells,cell_cutoff,num_countries,xbd
6336,Delphinus delphis,ANIMALIA,CHORDATA,LC,812042,40602.1,109,transboundary
6337,Delphinus capensis,ANIMALIA,CHORDATA,DD,54045,2702.25,61,transboundary
6494,Dermochelys coriacea,ANIMALIA,CHORDATA,VU,329468,16473.4,29,transboundary
6814,Dunckerocampus dactyliophorus,ANIMALIA,CHORDATA,DD,49387,2469.35,40,transboundary
6909,Dugong dugon,ANIMALIA,CHORDATA,VU,36851,1842.55,40,transboundary
7134,Eleotris sandwicensis,ANIMALIA,CHORDATA,DD,244,12.2,1,singlecountry
7135,Eleotris melanosoma,ANIMALIA,CHORDATA,LC,12640,632,22,transboundary
7750,Enhydra lutris,ANIMALIA,CHORDATA,EN,20126,1006.3,5,transboundary
7778,Entomacrodus cadenati,ANIMALIA,CHORDATA,LC,2530,126.5,16,transboundary
7854,Epinephelus drummondhayi,ANIMALIA,CHORDATA,DD,6109,305.45,2,transboundary
7855,Hyporthodus exsul,ANIMALIA,CHORDATA,LC,2894,144.7,6,transboundary
7858,Epinephelus lanceolatus,ANIMALIA,CHORDATA,DD,70680,3534,64,transboundary
7859,Epinephelus marginatus,ANIMALIA,CHORDATA,VU,24195,1209.75,52,transboundary
7860,Hyporthodus nigritus,ANIMALIA,CHORDATA,NT,11652,582.6,10,transboundary
7861,Hyporthodus niveatus,ANIMALIA,CHORDATA,VU,21915,1095.75,27,transboundary
7862,Epinephelus striatus,ANIMALIA,CHORDATA,CR,10126,506.3,33,transboundary
8005,Eretmochelys imbricata,ANIMALIA,CHORDATA,CR,2768250,138412.5,190,transboundary
8010,Erignathus barbatus,ANIMALIA,CHORDATA,LC,131066,6553.3,9,transboundary
8097,Eschrichtius robustus,ANIMALIA,CHORDATA,LC,17680,884,4,transboundary
8099,Eschrichtius robustus,ANIMALIA,CHORDATA,EN,21916,1095.8,6,transboundary
8153,Eubalaena australis,ANIMALIA,CHORDATA,LC,862724,43136.2,27,transboundary
8239,Eumetopias jubatus,ANIMALIA,CHORDATA,NT,64791,3239.55,6,transboundary
8407,Eurypegasus draconis,ANIMALIA,CHORDATA,LC,37649,1882.45,45,transboundary
8408,Eurypegasus papilio,ANIMALIA,CHORDATA,LC,244,12.2,1,singlecountry
8551,Feresa attenuata,ANIMALIA,CHORDATA,LC,2060123,103006.15,152,transboundary
9249,Globicephala macrorhynchus,ANIMALIA,CHORDATA,LC,2256555,112827.75,161,transboundary
9250,Globicephala melas,ANIMALIA,CHORDATA,LC,1310261,65513.05,59,transboundary
9266,Psammogobius biocellatus,ANIMALIA,CHORDATA,LC,23186,1159.3,23,transboundary
9281,Glyphis gangeticus,ANIMALIA,CHORDATA,CR,4537,226.85,4,transboundary
9461,Grampus griseus,ANIMALIA,CHORDATA,LC,2359864,117993.2,190,transboundary
9660,Halichoerus grypus,ANIMALIA,CHORDATA,LC,29762,1488.1,16,transboundary
10030,Hexanchus griseus,ANIMALIA,CHORDATA,NT,124233,6211.65,72,transboundary
10056,Hippocampus capensis,ANIMALIA,CHORDATA,EN,2,0.1,1,singlecountry
10057,Hippocampus abdominalis,ANIMALIA,CHORDATA,LC,9913,495.65,2,transboundary
10060,Hippocampus bargibanti,ANIMALIA,CHORDATA,DD,27074,1353.7,13,transboundary
10063,Hippocampus breviceps,ANIMALIA,CHORDATA,LC,6599,329.95,1,singlecountry
10064,Hippocampus camelopardalis,ANIMALIA,CHORDATA,DD,2346,117.3,3,transboundary
10065,Hippocampus coronatus,ANIMALIA,CHORDATA,DD,2761,138.05,3,transboundary
10066,Hippocampus erectus,ANIMALIA,CHORDATA,VU,24489,1224.45,38,transboundary
10069,Hippocampus hippocampus,ANIMALIA,CHORDATA,DD,16857,842.85,35,transboundary
10070,Hippocampus histrix,ANIMALIA,CHORDATA,VU,66988,3349.4,40,transboundary
10072,Hippocampus ingens,ANIMALIA,CHORDATA,VU,5405,270.25,10,transboundary
10074,Hippocampus jayakari,ANIMALIA,CHORDATA,LC,2896,144.8,10,transboundary
10077,Hippocampus minotaur,ANIMALIA,CHORDATA,DD,454,22.7,1,singlecountry
10082,Hippocampus reidi,ANIMALIA,CHORDATA,NT,15128,756.4,37,transboundary
10083,Hippocampus sindonis,ANIMALIA,CHORDATA,LC,80,4,1,singlecountry
10087,Hippocampus trimaculatus,ANIMALIA,CHORDATA,VU,78311,3915.55,24,transboundary
10088,Hippocampus whitei,ANIMALIA,CHORDATA,EN,659,32.95,1,singlecountry
10089,Hippocampus zosterae,ANIMALIA,CHORDATA,LC,5345,267.25,3,transboundary
10269,Huso huso,ANIMALIA,CHORDATA,CR,3339,166.95,11,transboundary
10340,Hydrurga leptonyx,ANIMALIA,CHORDATA,LC,213841,10692.05,3,transboundary
10707,Hyperoodon ampullatus,ANIMALIA,CHORDATA,DD,244413,12220.65,30,transboundary
10708,Hyperoodon planifrons,ANIMALIA,CHORDATA,LC,919291,45964.55,19,transboundary
10724,Hypoplectrus providencianus,ANIMALIA,CHORDATA,LC,8048,402.4,16,transboundary
10939,Jenkinsia parvula,ANIMALIA,CHORDATA,DD,1865,93.25,4,transboundary
11030,Knipowitschia caucasica,ANIMALIA,CHORDATA,LC,4842,242.1,10,transboundary
11047,Kogia breviceps,ANIMALIA,CHORDATA,DD,2531222,126561.1,171,transboundary
11048,Kogia sima,ANIMALIA,CHORDATA,DD,2376770,118838.5,167,transboundary
11060,Kuhlia marginata,ANIMALIA,CHORDATA,LC,22692,1134.6,29,transboundary
11130,Lachnolaimus maximus,ANIMALIA,CHORDATA,VU,17158,857.9,37,transboundary
11140,Lagenodelphis hosei,ANIMALIA,CHORDATA,LC,1749741,87487.05,156,transboundary
11141,Lagenorhynchus acutus,ANIMALIA,CHORDATA,LC,103368,5168.4,20,transboundary
11142,Lagenorhynchus albirostris,ANIMALIA,CHORDATA,LC,128278,6413.9,27,transboundary
11143,Lagenorhynchus australis,ANIMALIA,CHORDATA,LC,10185,509.25,4,transboundary
11144,Lagenorhynchus cruciger,ANIMALIA,CHORDATA,LC,624971,31248.55,16,transboundary
11145,Lagenorhynchus obliquidens,ANIMALIA,CHORDATA,LC,153108,7655.4,10,transboundary
11146,Lagenorhynchus obscurus,ANIMALIA,CHORDATA,LC,78624,3931.2,12,transboundary
11150,Lagocephalus gloveri,ANIMALIA,CHORDATA,DD,45420,2271,19,transboundary
11200,Lamna nasus,ANIMALIA,CHORDATA,VU,1011817,50590.85,67,transboundary
11501,Lentipes concolor,ANIMALIA,CHORDATA,DD,4124,206.2,1,singlecountry
11534,Lepidochelys olivacea,ANIMALIA,CHORDATA,VU,795293,39764.65,134,transboundary
11696,Leptonychotes weddellii,ANIMALIA,CHORDATA,LC,213841,10692.05,3,transboundary
12125,Lissodelphis borealis,ANIMALIA,CHORDATA,LC,100269,5013.45,7,transboundary
12126,Lissodelphis peronii,ANIMALIA,CHORDATA,LC,852724,42636.2,22,transboundary
12137,Lithognathus lithognathus,ANIMALIA,CHORDATA,EN,1492,74.6,1,singlecountry
12244,Liza luciae,ANIMALIA,CHORDATA,EN,992,49.6,2,transboundary
12246,Lobodon carcinophaga,ANIMALIA,CHORDATA,LC,205055,10252.75,3,transboundary
12302,Lontra canadensis,ANIMALIA,CHORDATA,LC,9180,459,2,transboundary
12303,Lontra felina,ANIMALIA,CHORDATA,EN,1956,97.8,2,transboundary
12305,Lontra provocax,ANIMALIA,CHORDATA,EN,747,37.35,2,transboundary
12416,Lutjanus analis,ANIMALIA,CHORDATA,NT,19362,968.1,37,transboundary
12417,Lutjanus cyanopterus,ANIMALIA,CHORDATA,VU,24925,1246.25,38,transboundary
12419,Lutra lutra,ANIMALIA,CHORDATA,NT,5297,264.85,34,transboundary
12421,Lutra sumatrana,ANIMALIA,CHORDATA,EN,527,26.35,4,transboundary
12427,Lutrogale perspicillata,ANIMALIA,CHORDATA,VU,1531,76.55,8,transboundary
13006,Megaptera novaeangliae,ANIMALIA,CHORDATA,LC,3458615,172930.75,189,transboundary
13145,Menidia conchorum,ANIMALIA,CHORDATA,EN,103,5.15,1,singlecountry
13232,Mesogobius batrachocephalus,ANIMALIA,CHORDATA,LC,4431,221.55,7,transboundary
13241,Mesoplodon bidens,ANIMALIA,CHORDATA,DD,144725,7236.25,25,transboundary
13244,Mesoplodon densirostris,ANIMALIA,CHORDATA,DD,2400464,120023.2,167,transboundary
13245,Mesoplodon europaeus,ANIMALIA,CHORDATA,DD,458787,22939.35,78,transboundary
