ant_typ,rgn_id_2,rgn_nam_2,rgn_name_short
eez-disputed,25503,XD_NGA_STP,XD_NGA_STP
eez,103,Sao Tome and Principe,Sao Tome & Principe
eez,10,Nauru,Nauru
eez,17,Papua New Guinea,Papua New Guinea
eez,149,Jarvis Island,Jarvis Isl
eez,208,Singapore,Singapore
eez,198,Gabon,Gabon
eez,157,Phoenix Group,Phoenix Group
eez,31,Seychelles,Seychelles
eez-disputed,25510,XD_KEN_SOM,XD_KEN_SOM
eez,43,Kenya,Kenya
eez,38,British Indian Ocean Territory,British Indian Ocean Terr
eez,138,Peru,Peru
eez,100,Republique du Congo,Congo Rep
eez,19,Tuvalu,Tuvalu
eez,7,Solomon Islands,Solomon Isl
eez,147,French Polynesia,French Polynesia
eez,85,Ascension,Ascension
eez,202,Tanzania,Tanzania
eez,200,Angola,Angola
eez,199,Democratic Republic of the Congo,Dem Rep of Congo
eez,153,Cook Islands,Cook Isl
eez,156,Tokelau,Tokelau
eez,231,East Timor,East Timor
eez,28,Comoros,Comoros
eez,37,Mauritius,Mauritius
eez,1,Cocos Islands,Cocos Isl
eez,2,Christmas Island,Christmas Isl
eez,237,Oecussi Ambeno,Oecussi Ambeno
eez-disputed,25508,XD_AUS_IND_TLS,XD_AUS_IND_TLS
eez,16,Australia,Australia
eez-disputed,25509,XD_AUS_PNG,XD_AUS_PNG
land-disputed,25509,XD_AUS_PNG,XD_AUS_PNG
eez,18,Fiji,Fiji
eez,161,Wallis and Futuna,Wallis & Futuna
eez,151,American Samoa,Am Samoa
eez,41,Mozambique,Mozambique
eez,42,Madagascar,Madagascar
eez,30,Glorioso Islands,Glorioso Isl
eez,152,Samoa,Samoa
eez,29,Mayotte,Mayotte
eez,6,Vanuatu,Vanuatu
eez,86,Saint Helena,St Helena
eez,36,Ile Tromelin,Ile Tromelin
eez,155,Tonga,Tonga
eez,5,New Caledonia,New Caledonia
eez,33,Juan de Nova Island,Juan de Nova Isl
eez,154,Niue,Niue
eez,101,Namibia,Namibia
eez,32,Reunion,Reunion
eez,224,Chile,Chile
eez,34,Bassas da India,Bassas da India
eez,146,Pitcairn,Pitcairn
eez,35,Ile Europa,Ile Europa
eez,162,New Zealand,New Zealand
eez,3,Norfolk Island,Norfolk Isl
eez,102,South Africa,S Africa
eez,172,Argentina,Argentina
eez,173,Uruguay,Uruguay
eez,88,Tristan da Cunha,Tristan da Cunha
eez,92,Amsterdam Island and Saint Paul Island,Amsterdam Isl & St Paul Isl
eez,91,Crozet Islands,Crozet Isl
eez,90,Prince Edward Islands,Prince Edward Isl
eez-ccamlr,213,Antarctica,Antarctica
eez,93,Kerguelen Islands,Kerguelen Isl
eez,95,Falkland Islands,Falkland Isl
eez,94,Heard and McDonald Islands,Heard & McDonald Isl
eez,89,South Georgia and the South Sandwich Islands,S Georgia & the S Sandwich Isl
eez,105,Bouvet Island,Bouvet Isl
eez,4,Macquarie Island,Macquarie Isl
