species_id,sciname,kingdom,phylum,class,tot_count_cells,num_countries,xbd
W-Msc-559424,Nerita planospira,Animalia,Mollusca,Gastropoda,53301,57,transboundary
W-Msc-559949,Glossodoris hikuerensis,Animalia,Mollusca,Gastropoda,57203,70,transboundary
W-Msc-560064,Nassarius conoidalis,Animalia,Mollusca,Gastropoda,32937,24,transboundary
W-Msc-560158,Nassarius callospira,Animalia,Mollusca,Gastropoda,23512,21,transboundary
W-Msc-560161,Nassarius castus,Animalia,Mollusca,Gastropoda,42231,23,transboundary
W-Msc-560168,Nassarius comptus,Animalia,Mollusca,Gastropoda,21589,20,transboundary
W-Msc-560188,Nassarius elegantissimus,Animalia,Mollusca,Gastropoda,20339,16,transboundary
W-Msc-560208,Nassarius fretorum,Animalia,Mollusca,Gastropoda,16910,19,transboundary
W-Msc-560262,Nassarius multipunctatus,Animalia,Mollusca,Gastropoda,37991,28,transboundary
W-Msc-560303,Nassarius quadrasi,Animalia,Mollusca,Gastropoda,28689,25,transboundary
W-Msc-560323,Nassarius splendidulus,Animalia,Mollusca,Gastropoda,29790,24,transboundary
W-Msc-561134,Nassarius graniferus,Animalia,Mollusca,Gastropoda,23707,23,transboundary
W-Msc-562476,Cadlina luteomarginata,Animalia,Mollusca,Gastropoda,2664,3,transboundary
W-Msc-564259,Murex troscheli,Animalia,Mollusca,Gastropoda,33565,27,transboundary
W-Msc-564284,Dermomurex elizabethae,Animalia,Mollusca,Gastropoda,9438,32,transboundary
W-Msc-564293,Dermomurex oxum,Animalia,Mollusca,Gastropoda,2327,2,transboundary
W-Msc-564492,Dolomena pulchella,Animalia,Mollusca,Gastropoda,11948,14,transboundary
W-Msc-564498,Dolomena dilatata,Animalia,Mollusca,Gastropoda,16199,22,transboundary
W-Msc-564515,Dolomena variabilis,Animalia,Mollusca,Gastropoda,85905,62,transboundary
W-Msc-564657,Pinctada nigra,Animalia,Mollusca,Bivalvia,43488,30,transboundary
W-Msc-564678,Paziella oregonia,Animalia,Mollusca,Gastropoda,3384,9,transboundary
W-Msc-564720,Strombus aurisdianae,Animalia,Mollusca,Gastropoda,70749,57,transboundary
W-Msc-564725,Harpago chiragra,Animalia,Mollusca,Gastropoda,79713,68,transboundary
W-Msc-564730,Lobatus gigas,Animalia,Mollusca,Gastropoda,14051,40,transboundary
W-Msc-564734,Sinustrombus taurus,Animalia,Mollusca,Gastropoda,7653,12,transboundary
W-Msc-564878,Eunaticina papilla,Animalia,Mollusca,Gastropoda,51437,30,transboundary
W-Msc-565356,Strombus lentiginosus,Animalia,Mollusca,Gastropoda,68620,78,transboundary
W-Msc-565363,Lobatus costatus,Animalia,Mollusca,Gastropoda,14070,36,transboundary
W-Msc-565364,Lobatus gallus,Animalia,Mollusca,Gastropoda,14204,39,transboundary
W-Msc-565368,Strombus epidromis,Animalia,Mollusca,Gastropoda,66672,39,transboundary
W-Msc-565370,Strombus luhuanus,Animalia,Mollusca,Gastropoda,59350,37,transboundary
W-Msc-565373,Strombus haemastoma,Animalia,Mollusca,Gastropoda,17778,21,transboundary
W-Msc-566950,Epitonium babylonia,Animalia,Mollusca,Gastropoda,12283,19,transboundary
W-Msc-567143,Volema myristica,Animalia,Mollusca,Gastropoda,6669,4,transboundary
W-Msc-567150,Pugilina colosseus,Animalia,Mollusca,Gastropoda,64062,34,transboundary
W-Msc-567156,Pugilina cochlidium,Animalia,Mollusca,Gastropoda,58281,52,transboundary
W-Msc-567177,Pugilina ternatana,Animalia,Mollusca,Gastropoda,52853,26,transboundary
W-Msc-567186,Calliostoma iris,Animalia,Mollusca,Gastropoda,7810,5,transboundary
W-Msc-567234,Tectus fenestratus,Animalia,Mollusca,Gastropoda,55757,37,transboundary
W-Msc-567235,Tectus triserialis,Animalia,Mollusca,Gastropoda,16906,21,transboundary
W-Msc-568006,Cymbiola vespertilio,Animalia,Mollusca,Gastropoda,30610,17,transboundary
W-Msc-568021,Phyllonotus margaritensis,Animalia,Mollusca,Gastropoda,797,6,transboundary
W-Msc-568320,Polinices didyma,Animalia,Mollusca,Gastropoda,96092,62,transboundary
W-Msc-568326,Neverita peselephanti,Animalia,Mollusca,Gastropoda,75767,64,transboundary
W-Msc-569972,Polinices melanostoma,Animalia,Mollusca,Gastropoda,91073,83,transboundary
W-Msc-569984,Polinices simiae,Animalia,Mollusca,Gastropoda,41814,45,transboundary
W-Msc-570002,Natica fasciata,Animalia,Mollusca,Gastropoda,21068,19,transboundary
W-Msc-570148,Polinices albumen,Animalia,Mollusca,Gastropoda,46408,27,transboundary
W-Msc-570469,Fissurella maxima,Animalia,Mollusca,Gastropoda,1872,3,transboundary
W-Msc-570473,Fissurella latimarginata,Animalia,Mollusca,Gastropoda,411,2,transboundary
W-Msc-571879,Natica stellata,Animalia,Mollusca,Gastropoda,50034,28,transboundary
W-Msc-571880,Natica vitellus,Animalia,Mollusca,Gastropoda,81311,52,transboundary
W-Msc-571892,Sinum incisum,Animalia,Mollusca,Gastropoda,1043,3,transboundary
W-Msc-571922,Diodora granifera,Animalia,Mollusca,Gastropoda,10716,13,transboundary
W-Msc-572142,Mitra chrysalis,Animalia,Mollusca,Gastropoda,22710,23,transboundary
W-Msc-572177,Crepidula adunca,Animalia,Mollusca,Gastropoda,1956,3,transboundary
W-Msc-572220,Zeidora calceolina,Animalia,Mollusca,Gastropoda,21196,23,transboundary
W-Msc-572229,Erosaria bernardi,Animalia,Mollusca,Gastropoda,11310,23,transboundary
W-Msc-574116,Batissa violacea,Animalia,Mollusca,Bivalvia,28283,21,transboundary
W-Msc-574538,Doryteuthis gahi,Animalia,Mollusca,Cephalopoda,10403,6,transboundary
W-Msc-574540,Doryteuthis opalescens,Animalia,Mollusca,Cephalopoda,1571,3,transboundary
W-Msc-574541,Doryteuthis pealeii,Animalia,Mollusca,Cephalopoda,15568,12,transboundary
W-Msc-574543,Doryteuthis pleii,Animalia,Mollusca,Cephalopoda,26082,42,transboundary
W-Msc-574545,Doryteuthis sanpaulensis,Animalia,Mollusca,Cephalopoda,1371,2,transboundary
W-Msc-574562,Heterololigo bleekeri,Animalia,Mollusca,Cephalopoda,1537,3,transboundary
W-Msc-574836,Auriculastra subula,Animalia,Mollusca,Gastropoda,23214,18,transboundary
W-Msc-574843,Ellobium aurisjudae,Animalia,Mollusca,Gastropoda,40673,33,transboundary
W-Msc-575019,Acteocina infrequens,Animalia,Mollusca,Gastropoda,1138,5,transboundary
W-Msc-575153,Atys exarata,Animalia,Mollusca,Gastropoda,115,3,transboundary
