species_id,sciname,kingdom,phylum,class,tot_count_cells,num_eez,xbd,category,tax_group,eez_bins_2
133618,Madracis auretenra,ANIMALIA,CNIDARIA,ANTHOZOA,9689,33,transboundary,LC,Invertebrate,"[25,51)"
133619,Lobophyllia diminuta,ANIMALIA,CNIDARIA,ANTHOZOA,40426,25,transboundary,VU,Invertebrate,"[25,51)"
133620,Australogyra zelli,ANIMALIA,CNIDARIA,ANTHOZOA,34199,13,transboundary,VU,Invertebrate,"[10,25)"
133621,Acropora valenciennesi,ANIMALIA,CNIDARIA,ANTHOZOA,72348,61,transboundary,LC,Invertebrate,"[51,221]"
133622,Montipora capitata,ANIMALIA,CNIDARIA,ANTHOZOA,27266,26,transboundary,NT,Invertebrate,"[25,51)"
133623,Montipora cebuensis,ANIMALIA,CNIDARIA,ANTHOZOA,34490,21,transboundary,VU,Invertebrate,"[10,25)"
133624,Acanthastrea faviaformis,ANIMALIA,CNIDARIA,ANTHOZOA,27002,16,transboundary,VU,Invertebrate,"[10,25)"
133625,Porites studeri,ANIMALIA,CNIDARIA,ANTHOZOA,263,1,singlecountry,LC,Invertebrate,"[1,2)"
133626,Acropora schmitti,ANIMALIA,CNIDARIA,ANTHOZOA,5005,15,transboundary,DD,Invertebrate,"[10,25)"
133627,Goniastrea peresi,ANIMALIA,CNIDARIA,ANTHOZOA,10035,26,transboundary,NT,Invertebrate,"[25,51)"
133628,Cyphastrea agassizi,ANIMALIA,CNIDARIA,ANTHOZOA,37155,23,transboundary,VU,Invertebrate,"[10,25)"
133629,Favites stylifera,ANIMALIA,CNIDARIA,ANTHOZOA,31559,15,transboundary,NT,Invertebrate,"[10,25)"
133630,Favites micropentagona,ANIMALIA,CNIDARIA,ANTHOZOA,24095,25,transboundary,NT,Invertebrate,"[25,51)"
133631,Erythrastrea flabellata,ANIMALIA,CNIDARIA,ANTHOZOA,2946,8,transboundary,NT,Invertebrate,"[3,10)"
133632,Montipora vaughani,ANIMALIA,CNIDARIA,ANTHOZOA,47,2,transboundary,DD,Invertebrate,"[2,3)"
133633,Turbinaria mesenterina,ANIMALIA,CNIDARIA,ANTHOZOA,80158,67,transboundary,VU,Invertebrate,"[51,221]"
133634,Goniastrea retiformis,ANIMALIA,CNIDARIA,ANTHOZOA,72537,58,transboundary,LC,Invertebrate,"[51,221]"
133635,Montipora venosa,ANIMALIA,CNIDARIA,ANTHOZOA,75662,68,transboundary,NT,Invertebrate,"[51,221]"
133636,Leptoseris gardineri,ANIMALIA,CNIDARIA,ANTHOZOA,41729,34,transboundary,LC,Invertebrate,"[25,51)"
133637,Pocillopora indiania,ANIMALIA,CNIDARIA,ANTHOZOA,3458,10,transboundary,VU,Invertebrate,"[10,25)"
133638,Favia maritima,ANIMALIA,CNIDARIA,ANTHOZOA,49503,47,transboundary,NT,Invertebrate,"[25,51)"
133639,Acropora pichoni,ANIMALIA,CNIDARIA,ANTHOZOA,25029,14,transboundary,NT,Invertebrate,"[10,25)"
133640,Porites monticulosa,ANIMALIA,CNIDARIA,ANTHOZOA,48176,46,transboundary,LC,Invertebrate,"[25,51)"
133641,Goniopora djiboutiensis,ANIMALIA,CNIDARIA,ANTHOZOA,74542,59,transboundary,LC,Invertebrate,"[51,221]"
