rgn_id_2,num_spp_tb,num_spp_sc,rgn_nam_2,num_spp_tb_th,num_spp_sc_th,rgn_area_km2
139,4509,9,Venezuela,68,1,473325.114899
140,3593,3,Guadeloupe and Martinique,56,1,138683.404744
141,1201,0,Faeroe Islands,24,0,266720.483433
143,1365,2,Iceland,23,0,752783.414734
144,412,0,Jan Mayen,11,0,291233.691162
145,931,0,Greenland,16,0,4528928.88022
146,758,1,Pitcairn,29,0,839476.222788
147,4355,81,French Polynesia,77,4,4795467.77549
148,3690,0,Line Group,58,0,3311931.16714
149,2763,0,Jarvis Island,33,0,318799.103938
150,3179,0,Palmyra Atoll,41,0,1059726.177735
151,3071,0,American Samoa,93,0,406815.936032
152,3307,0,Samoa,92,0,132305.567661
153,3395,3,Cook Islands,65,0,1972842.71662
154,910,2,Niue,32,1,318243.753892
155,6465,10,Tonga,78,1,668054.123398
156,2406,0,Tokelau,30,0,321242.329818
157,3522,1,Phoenix Group,71,0,748008.706042
158,5160,0,Howland Island and Baker Island,33,0,437861.783601
159,2362,0,Johnston Atoll,34,0,445116.526912
161,4609,1,Wallis and Futuna,72,0,262863.597187
162,4039,111,New Zealand,64,11,4106953.90739
163,11234,231,United States,141,12,42956218.55955
164,4069,9,Belize,57,4,36249.8346044
166,3627,0,Jamaica,52,0,246488.447711
167,3351,0,Guyana,40,0,136909.972094
168,3089,0,Suriname,42,0,128363.011782
169,2277,0,French Guiana,41,0,136563.775857
171,4356,123,Brazil,83,12,3672584.29126
172,2113,11,Argentina,57,1,1083150.52637
173,1658,0,Uruguay,61,0,130097.971095
174,77,0,Finland,5,0,79467.828702
175,1022,0,Denmark,23,0,201226.800906
176,800,0,Germany,21,0,56357.9233539
177,808,0,Netherlands,22,0,64204.9916985
178,109,0,Poland,7,0,31945.6484321
179,2475,1,France,59,0,343866.251961
180,1929,0,United Kingdom,44,0,1446813.61572
181,1906,1,Ireland,42,0,426441.724536
182,2587,3,Spain,63,0,555707.223459
183,2078,0,Portugal,56,0,311717.992704
184,1367,2,Italy,57,0,538881.000468
186,855,0,Montenegro,41,0,7459.24658513
187,1176,1,Croatia,44,0,55462.3496455
189,76,0,Lithuania,6,0,6125.64876457
190,704,0,Qatar,44,0,31987.676133
191,2192,0,Iran,59,0,163764.703229
193,1470,0,Guinea Bissau,56,0,106506.62063
194,1438,1,Guinea,54,0,110136.291533
195,1359,0,Ivory Coast,56,0,174842.242742
196,1358,2,Nigeria,55,0,182874.660848
197,845,0,Cameroon,53,0,14704.2563269
198,1335,1,Gabon,53,0,193292.328729
199,904,0,Democratic Republic of the Congo,49,0,26530.8077016
200,1622,24,Angola,57,3,493753.372908
202,4826,2,Tanzania,94,0,243129.576634
203,6204,12,India,144,0,1637705.82252
204,1111,0,Bangladesh,56,0,84563.2563621
205,3880,4,Myanmar,136,1,514147.233008
206,8226,1,Malaysia,274,1,451796.70162
207,7429,1,Vietnam,173,0,647232.077085
208,1,0,Singapore,0,0,762.68733173
209,7750,11,China,106,1,878363.96899
210,9450,82,Japan,207,6,4040612.34213
212,7051,0,Kiribati,114,0,3165351.05103
213,1541,145,Antarctica,29,0,43883132.607048
214,1934,5,Egypt,123,1,236612.008503
216,10099,75,Indonesia,305,11,5947885.10452
218,3266,0,Canada,60,0,39886597.91116
219,1020,0,Saint Pierre and Miquelon,28,0,12367.3042162
221,2780,0,Northern Saint-Martin,51,0,5386.64764732
222,610,0,Sweden,23,0,309961.02653
223,1372,2,Norway,32,0,12016612.05402
224,2955,86,Chile,58,5,3657312.86523
227,1061,0,Jersey,28,0,2962.10397851
228,1023,0,Guernsey,29,0,8672.6488605
231,5444,0,East Timor,227,0,40225.6748096
237,3485,0,Oecussi Ambeno,28,0,2275.55962631
244,3359,2,Curacao,32,0,30535.0207162
245,3235,0,Bonaire,31,0,13391.1657371
247,4866,0,Brunei,230,0,25698.4627065
248,3243,0,Saba,52,0,9483.7767842
249,2749,0,Sint Eustatius,27,0,2237.40364651
250,4005,1,Aruba,60,1,25213.9149738
999,9946,31,ABNJ,125,0,329586794.95608
25501,3798,0,XD_JPN_KOR,49,0,83760.5785187
25502,2508,0,XD_COL_JAM,22,0,18395.6397488
25503,564,0,XD_NGA_STP,29,0,34769.8121293
25504,1322,0,XD_EGY_SDN,94,0,25932.8904111
25505,7538,0,XD_JPN_CHN_TWN,151,0,73342.947842
25506,7084,1,XD_SOUTHCHINASEA,120,0,736364.082252
25507,1160,0,XD_JPN_KOR_2,17,0,66490.1107435
25508,6148,0,XD_AUS_IND_TLS,123,0,81420.6690118
25509,5702,0,XD_AUS_PNG,145,0,3740.4442619
25510,766,0,XD_KEN_SOM,28,0,51682.611682
25511,1138,0,XD_JPN_RUS,31,0,214369.606144
25512,1049,0,XD_ESH_MAR,47,0,49750.2307349
25513,580,0,XD_TTO_VEN_GUY,20,0,4339.61937927
