iucn_spp_group,iucn_sid,class,iucn_sciname,am_sid,am_sciname,am_reviewed,am_sid_old,kingdom,redlist_category,iucn_sid_other
GROUPERS,7860,Actinopterygii,Hyporthodus nigritus,Fis-163779,Hyporthodus nigritus,1,NA,ANIMALIA,NT,7860
GROUPERS,7861,Actinopterygii,Hyporthodus niveatus,Fis-163781,Hyporthodus niveatus,NA,NA,ANIMALIA,VU,7861
GROUPERS,7862,Actinopterygii,Epinephelus striatus,Fis-22722,Epinephelus striatus,1,NA,ANIMALIA,CR,7862
REPTILES,8005,Reptilia,Eretmochelys imbricata,Rep-5181,Eretmochelys imbricata,1,NA,ANIMALIA,CR,8005
MARINE_MAMMALS,8010,Mammalia,Erignathus barbatus,ITS-Mam-180655,Erignathus barbatus,NA,NA,ANIMALIA,LC,8010
MARINE_MAMMALS,8097,Mammalia,Eschrichtius robustus,ITS-Mam-180521,Eschrichtius robustus,1,NA,ANIMALIA,LC,8097
MARINE_MAMMALS,8153,Mammalia,Eubalaena australis,ITS-Mam-552771,Eubalaena australis,1,NA,ANIMALIA,LC,8153
MARINE_MAMMALS,8239,Mammalia,Eumetopias jubatus,ITS-Mam-180625,Eumetopias jubatus,1,NA,ANIMALIA,NT,8239
MARINE_MAMMALS,8551,Mammalia,Feresa attenuata,ITS-Mam-180461,Feresa attenuata,1,NA,ANIMALIA,LC,8551
MARINE_MAMMALS,9249,Mammalia,Globicephala macrorhynchus,ITS-Mam-180466,Globicephala macrorhynchus,1,NA,ANIMALIA,LC,9249
MARINE_MAMMALS,9250,Mammalia,Globicephala melas,ITS-Mam-552461,Globicephala melas,1,NA,ANIMALIA,LC,9250
MARINE_MAMMALS,9461,Mammalia,Grampus griseus,ITS-Mam-180457,Grampus griseus,1,NA,ANIMALIA,LC,9461
MARINE_MAMMALS,9660,Mammalia,Halichoerus grypus,ITS-Mam-180653,Halichoerus grypus,1,NA,ANIMALIA,LC,9660
MARINE_MAMMALS,10340,Mammalia,Hydrurga leptonyx,ITS-Mam-180667,Hydrurga leptonyx,1,NA,ANIMALIA,LC,10340
