species_id,sciname,kingdom,phylum,class
Biv-32126,Corbicula japonica,Animalia,Mollusca,Bivalvia
Bra-235673,Dyscritosia secreta,Animalia,Brachiopoda,Articulata
Brc-378165,Lightiella floridana,Animalia,Arthropoda,Cephalocarida
Chn-013ca97e-46a8-4c5e-b398-8bb4f340f88b,Lenisquilla lata,Animalia,Arthropoda,Malacostraca
Chn-015453c0-3ff9-477d-ab51-c68d85e65af5,Clorida albolitura,Animalia,Arthropoda,Malacostraca
Chn-0721ac0c-7d19-46fa-9dcc-02da54310867,Leiogalathea laevirostris,Animalia,Arthropoda,Malacostraca
Chn-0e470b93-1bf9-4c28-8770-166bb5e2a8c7,Levisquilla jurichi,Animalia,Arthropoda,Malacostraca
Chn-0e9cfa5e-eab6-490e-9279-34eeeb127eb2,Lophosquilla tiwarii,Animalia,Arthropoda,Malacostraca
Chn-12f493b8-a962-48d7-af4b-632ba9c0fa57,Capillaster multiradiatus,Animalia,Echinodermata,Crinoidea
Chn-17d15aec-37c6-4c6a-88d2-9c350613076a,Harpiosquilla annandalei,Animalia,Arthropoda,Malacostraca
Chn-21252d4f-8095-42f9-a7e5-67236bb3099d,Cloridina pelamidae,Animalia,Arthropoda,Malacostraca
Chn-2b605750-6865-42dd-9798-32cfbc2ac7d5,Oratosquillina perpensa,Animalia,Arthropoda,Malacostraca
Chn-2bd2f979-5bbd-4725-93f0-c2b66a1e0a2d,Comatula pectinata,Animalia,Echinodermata,Crinoidea
Chn-2d96ad09-2772-4579-b6d6-96420751b7ec,Quollastria subtilis,Animalia,Arthropoda,Malacostraca
Chn-2ddce54e-f195-404c-a982-bc296b2a7e64,Neoacasta glans,Animalia,Arthropoda,Maxillopoda
Chn-2f5a48ac-ec54-40e1-9a03-ce2be006ee68,Chorisquilla spinosissima,Animalia,Arthropoda,Malacostraca
Chn-335d884d-9fab-419b-85fb-ed0a94ffe255,Oratosquillina manningi,Animalia,Arthropoda,Malacostraca
Chn-364c26b3-84d3-460d-9d53-2d3d5d4352f8,Erugosquilla woodmasoni,Animalia,Arthropoda,Malacostraca
Chn-3953473a-c9d7-4719-9fdb-dabfd375b330,Aliaporcellana suluensis,Animalia,Arthropoda,Malacostraca
Chn-3d368bae-a02b-4109-99a3-33d99b22f83d,Uroptychodes spinimarginatus,Animalia,Arthropoda,Malacostraca
Chn-4251039a-f032-49e7-b4d0-767e2a6b6326,Lissoporcellana quadrilobata,Animalia,Arthropoda,Malacostraca
Chn-42aeac39-f607-4ee5-bce7-0294bbc61fde,Harpiosquilla raphidea,Animalia,Arthropoda,Malacostraca
