am_sid,am_spec_code,genus,species,f_bname,am_sciname
W-Por-170734,139407,Aaptos,duchassaingi,NA,Aaptos duchassaingi
W-Por-170741,130708,Aaptos,pernucleata,NA,Aaptos pernucleata
W-Iso-258623,10214,Aatolana,rapax,NA,Aatolana rapax
W-Iso-258624,10215,Aatolana,schioedtei,NA,Aatolana schioedtei
Fis-156671,62612,Abalistes,filamentosus,NA,Abalistes filamentosus
Fis-53544,9,Abalistes,stellaris,Starry triggerfish,Abalistes stellaris
Fis-142700,58334,Abalistes,stellatus,NA,Abalistes stellatus
W-Hyd-117870,43023,Abietinaria,abietina,sea fir,Abietinaria abietina
W-Hyd-285367,76817,Abietinaria,immersa,NA,Abietinaria immersa
W-Hyd-231588,94042,Abietinella,operculata,NA,Abietinella operculata
Fis-58566,25701,Ablabys,macracanthus,Spiny waspfish,Ablabys macracanthus
Fis-27725,10232,Ablabys,taenianotus,Cockatoo waspfish,Ablabys taenianotus
Fis-22975,972,Ablennes,hians,Flat needlefish,Ablennes hians
W-Msc-293683,47996,Abra,aequalis,Atlantic abra,Abra aequalis
W-Msc-141433,47999,Abra,alba,white furrow shell,Abra alba
W-Msc-156730,47997,Abra,lioica,smooth abra,Abra lioica
W-Msc-341825,57120,Abralia,andamanica,NA,Abralia andamanica
W-Msc-341828,57612,Abralia,astrosticta,NA,Abralia astrosticta
W-Msc-341831,57657,Abralia,heminuchalis,Cephalopods,Abralia heminuchalis
W-Msc-139688,57421,Abralia,veranyi,eye-flash squid,Abralia veranyi
SLB-71490,57417,Abraliopsis,felis,NA,Abraliopsis felis
SLB-71492,57376,Abraliopsis,hoylei,Hoyle's enope squid,Abraliopsis hoylei
SLB-71496,57323,Abraliopsis,pfefferi,Pfeffer's enope squid,Abraliopsis pfefferi
Fis-26241,6652,Abudefduf,abdominalis,Green damselfish,Abudefduf abdominalis
Fis-26166,6517,Abudefduf,bengalensis,Bengal sergeant,Abudefduf bengalensis
Fis-28205,11793,Abudefduf,concolor,NA,Abudefduf concolor
Fis-135703,55476,Abudefduf,conformis,NA,Abudefduf conformis
Fis-136667,55868,Abudefduf,declivifrons,Mexican nightsergeant,Abudefduf declivifrons
Fis-31491,5685,Abudefduf,lorenzi,Black-tail sergeant,Abudefduf lorenzi
Fis-28218,11820,Abudefduf,luridus,Canary damsel,Abudefduf luridus
Fis-34853,11825,Abudefduf,natalensis,Natal sergeant,Abudefduf natalensis
Fis-25761,5686,Abudefduf,notatus,Yellowtail sergeant,Abudefduf notatus
Fis-23318,1119,Abudefduf,saxatilis,Sergeant-major,Abudefduf saxatilis
Fis-25762,5687,Abudefduf,septemfasciatus,Banded sergeant,Abudefduf septemfasciatus
Fis-25763,5688,Abudefduf,sexfasciatus,Scissortail sergeant,Abudefduf sexfasciatus
Fis-25764,5689,Abudefduf,sordidus,Blackspot sergeant,Abudefduf sordidus
Fis-26803,8018,Abudefduf,sparoides,False-eye sergeant,Abudefduf sparoides
Fis-23319,1120,Abudefduf,taurus,Night sergeant,Abudefduf taurus
Fis-26922,8245,Abudefduf,troschelii,Panamic sergeant major,Abudefduf troschelii
Fis-26228,6630,Abudefduf,vaigiensis,Indo-Pacific sergeant,Abudefduf vaigiensis
Fis-33558,9626,Abudefduf,whitleyi,Whitley's sergeant,Abudefduf whitleyi
W-Hyd-196556,44647,Abyla,haeckeli,NA,Abyla haeckeli
SLB-64971,44696,Abylopsis,eschscholtzi,NA,Abylopsis eschscholtzi
W-Hyd-135403,44695,Abylopsis,tetragona,NA,Abylopsis tetragona
URM-2-2033,52610,Abyssascidia,millari,NA,Abyssascidia millari
Fis-50764,17075,Abyssobrotula,galatheae,NA,Abyssobrotula galatheae
SLB-174350,142326,Abyssorchomene,nodimanus,NA,Abyssorchomene nodimanus
SLB-174351,142327,Abyssorchomene,plebs,NA,Abyssorchomene plebs
SLB-174352,142328,Abyssorchomene,rossi,NA,Abyssorchomene rossi
W-For-556253,71956,Abyssotherma,pacifica,NA,Abyssotherma pacifica
W-Bra-235514,60468,Abyssothyris,wyvillei,NA,Abyssothyris wyvillei
NZ-5954,92899,Acaenosquilla,brazieri,NA,Acaenosquilla brazieri
SLB-88849,83893,Acalyptophis,peronii,spiny-headed seasnake,Acalyptophis peronii
ITS-97319,26024,Acanthacaris,caeca,Atlantic deep lobster,Acanthacaris caeca
ITS-552914,14774,Acanthacaris,tenuimana,prickly deep-sea lobster,Acanthacaris tenuimana
Fis-22077,14532,Acanthaluteres,brownii,Spiny-tailed leatherjacket,Acanthaluteres brownii
Fis-125479,51356,Acanthaluteres,spilomelanurus,Bridled leatherjacket,Acanthaluteres spilomelanurus
Fis-119913,14550,Acanthaluteres,vittiger,Toothbrush leatherjacket,Acanthaluteres vittiger
SLB-130681,81553,Acanthanas,pusillus,NA,Acanthanas pusillus
Fis-138012,56310,Acanthanectes,hystrix,NA,Acanthanectes hystrix
Fis-138013,56311,Acanthanectes,rufus,NA,Acanthanectes rufus
Fis-115260,12559,Acanthaphritis,barbata,NA,Acanthaphritis barbata
Fis-144739,59262,Acanthaphritis,grandisquamis,NA,Acanthaphritis grandisquamis
ITS-553044,15094,Acantharctus,ornatus,NA,Acantharctus ornatus
W-Iso-174394,10447,Acanthaspidia,acanthonotus,NA,Acanthaspidia acanthonotus
W-Ase-213289,48649,Acanthaster,planci,crown-of-thorns,Acanthaster planci
URM-Cn-5845,45749,Acanthastrea,bowerbanki,NA,Acanthastrea bowerbanki
SLB-158238,131130,Acanthastrea,brevis,starry cup coral,Acanthastrea brevis
URM-Cn-5846,45750,Acanthastrea,echinata,purple bullseye,Acanthastrea echinata
URM-Cn-5847,45751,Acanthastrea,faviaformis,NA,Acanthastrea faviaformis
SLB-62723,45752,Acanthastrea,hemprichii,Hemprich' brain coral,Acanthastrea hemprichii
URM-Cn-5849,45753,Acanthastrea,hillae,NA,Acanthastrea hillae
URM-Cn-5850,45754,Acanthastrea,ishigakiensis,NA,Acanthastrea ishigakiensis
URM-Cn-5851,45756,Acanthastrea,lordhowensis,closed brain coral,Acanthastrea lordhowensis
URM-Cn-5852,45757,Acanthastrea,maxima,NA,Acanthastrea maxima
URM-Cn-5854,45759,Acanthastrea,regularis,NA,Acanthastrea regularis
SLB-62731,45760,Acanthastrea,rotundoflora,NA,Acanthastrea rotundoflora
SLB-62732,45761,Acanthastrea,subechinata,NA,Acanthastrea subechinata
SLB-9082,15121,Acanthaxius,miyazakiensis,NA,Acanthaxius miyazakiensis
SLB-9086,15125,Acanthaxius,spinosissimus,NA,Acanthaxius spinosissimus
W-Por-165651,131271,Acanthella,cavernosa,NA,Acanthella cavernosa
W-Por-165653,131272,Acanthella,costata,NA,Acanthella costata
Fis-24397,3708,Acanthemblemaria,aspera,Roughhead blenny,Acanthemblemaria aspera
Fis-113559,46703,Acanthemblemaria,balanorum,Clubhead blenny,Acanthemblemaria balanorum
Fis-58221,25510,Acanthemblemaria,castroi,Galapagos barnacle blenny,Acanthemblemaria castroi
Fis-29577,3709,Acanthemblemaria,chaplini,Papillose blenny,Acanthemblemaria chaplini
Fis-113560,46704,Acanthemblemaria,crockeri,Browncheek blenny,Acanthemblemaria crockeri
Fis-113577,46709,Acanthemblemaria,exilispinus,Bluntspine blenny,Acanthemblemaria exilispinus
Fis-113583,46714,Acanthemblemaria,hancocki,Hancock's blenny,Acanthemblemaria hancocki
Fis-164328,65600,Acanthemblemaria,hastingsi,Cortez barnacle blenny,Acanthemblemaria hastingsi
Fis-113588,46717,Acanthemblemaria,macrospilus,Barnacle blenny,Acanthemblemaria macrospilus
Fis-148502,60574,Acanthemblemaria,mangognatha,Revillagigedo barnacle,Acanthemblemaria mangognatha
Fis-49730,16485,Acanthemblemaria,maria,Secretary blenny,Acanthemblemaria maria
Fis-49731,16486,Acanthemblemaria,spinosa,Spinyhead blenny,Acanthemblemaria spinosa
ITS-96119,25544,Acanthephyra,acutifrons,NA,Acanthephyra acutifrons
ITS-96118,25543,Acanthephyra,armata,NA,Acanthephyra armata
ITS-96116,25541,Acanthephyra,brevirostris,NA,Acanthephyra brevirostris
SLB-157697,130914,Acanthephyra,carinata,NA,Acanthephyra carinata
ITS-96124,25549,Acanthephyra,chacei,NA,Acanthephyra chacei
SLB-186085,153938,Acanthephyra,cucullata,NA,Acanthephyra cucullata
ITS-96117,25542,Acanthephyra,curtirostris,peaked shrimp,Acanthephyra curtirostris
ITS-96120,25545,Acanthephyra,eximia,NA,Acanthephyra eximia
ITS-96115,25540,Acanthephyra,pelagica,NA,Acanthephyra pelagica
ITS-96114,25539,Acanthephyra,purpurea,NA,Acanthephyra purpurea
ITS-659848,20715,Acanthephyra,quadrispinosa,NA,Acanthephyra quadrispinosa
SLB-118969,106335,Acanthephyra,smithi,NA,Acanthephyra smithi
ITS-96121,25546,Acanthephyra,stylorostratis,NA,Acanthephyra stylorostratis
W-Msc-377982,148525,Acanthina,monodon,Magellanic unicorn,Acanthina monodon
Fis-22840,351,Acanthistius,brasilianus,Argentine seabass,Acanthistius brasilianus
Fis-163637,65330,Acanthistius,joanae,Scalyjaw koester,Acanthistius joanae
Fis-29237,15036,Acanthistius,ocellatus,Eastern wirrah,Acanthistius ocellatus
Fis-35945,15040,Acanthistius,paxtoni,Orangelined wirrah,Acanthistius paxtoni
Fis-26768,7920,Acanthistius,sebastoides,Koester,Acanthistius sebastoides
Fis-29238,15042,Acanthistius,serratus,Western wirrah,Acanthistius serratus
W-Msc-138990,47936,Acanthocardia,aculeata,spiny cockle,Acanthocardia aculeata
W-Msc-138992,47934,Acanthocardia,echinata,European prickly cockle,Acanthocardia echinata
W-Msc-138993,92455,Acanthocardia,paucicostata,poorly ribbed cockle,Acanthocardia paucicostata
W-Msc-138994,89795,Acanthocardia,spinosa,sand cockle,Acanthocardia spinosa
W-Msc-381057,47937,Acanthocardia,tuberculata,Moroccan cockles,Acanthocardia tuberculata
Fis-27781,10354,Acanthocepola,abbreviata,Bandfish,Acanthocepola abbreviata
Fis-62878,9215,Acanthocepola,krusensternii,Red-spotted bandfish,Acanthocepola krusensternii
Fis-27337,9214,Acanthocepola,limbata,Blackspot bandfish,Acanthocepola limbata
Fis-131546,9046,Acanthochaenus,luetkenii,Pricklefish,Acanthochaenus luetkenii
W-Por-170385,163063,Acanthochaetetes,wellsi,NA,Acanthochaetetes wellsi
W-Msc-138677,58241,Acanthochitona,fascicularis,NA,Acanthochitona fascicularis
W-Msc-386489,58275,Acanthochitona,hemphilli,red glass-hair chiton,Acanthochitona hemphilli
W-Msc-386508,58407,Acanthochitona,pygmaea,striate glass-hair chiton,Acanthochitona pygmaea
W-Msc-386511,88620,Acanthochitona,rhodea,NA,Acanthochitona rhodea
W-Msc-532317,58270,Acanthochitona,spiculosa,NA,Acanthochitona spiculosa
Fis-26242,6655,Acanthochromis,polyacanthus,Spiny chromis,Acanthochromis polyacanthus
Fis-35392,12865,Acanthoclinus,fuscus,Rockfish,Acanthoclinus fuscus
Fis-22735,89,Acanthocybium,solandri,Wahoo,Acanthocybium solandri
W-Bch-440279,154503,Acanthocyclus,albatrossis,fringy arm wrestler crab,Acanthocyclus albatrossis
W-Gtr-114618,59634,Acanthodasys,aculeatus,NA,Acanthodasys aculeatus
W-Por-164888,163081,Acanthodendrilla,australis,NA,Acanthodendrilla australis
W-Msc-533859,94697,Acanthodoris,nanega,NA,Acanthodoris nanega
W-Msc-140627,7809,Acanthodoris,pilosa,hairy spiny doris,Acanthodoris pilosa
Fis-133560,54894,Acanthodraco,dewitti,NA,Acanthodraco dewitti
Fis-24398,3832,Acanthogobius,flavimanus,Yellowfin goby,Acanthogobius flavimanus
ITS-93982,24194,Acanthohaustorius,millsi,NA,Acanthohaustorius millsi
ITS-93984,24196,Acanthohaustorius,shoemakeri,NA,Acanthohaustorius shoemakeri
Fis-26619,7633,Acantholabrus,palloni,Scale-rayed wrasse,Acantholabrus palloni
Fis-125693,51500,Acantholiparis,caecus,NA,Acantholiparis caecus
Fis-57510,25262,Acantholiparis,opercularis,Spiny snailfish,Acantholiparis opercularis
ITS-97921,26503,Acantholithodes,hispidus,spiny lithode crab,Acantholithodes hispidus
Fis-24399,3771,Acantholumpenus,mackayi,Pighead prickleback,Acantholumpenus mackayi
W-Msc-180823,88174,Acanthomenia,arcuata,NA,Acanthomenia arcuata
W-Iso-174856,10480,Acanthomunna,spinipes,NA,Acanthomunna spinipes
ITS-89887,20129,Acanthomysis,longicornis,NA,Acanthomysis longicornis
SLB-5433,9770,Acanthonotozomoides,oatesi,NA,Acanthonotozomoides oatesi
Fis-33095,8943,Acanthonus,armatus,Bony-eared assfish,Acanthonus armatus
Fis-169282,67314,Acanthopagrus,arabicus,Arabian yellowfin seabream,Acanthopagrus arabicus
Fis-26855,8109,Acanthopagrus,australis,Surf bream,Acanthopagrus australis
Fis-25680,5526,Acanthopagrus,berda,Goldsilk seabream,Acanthopagrus berda
Fis-25176,4543,Acanthopagrus,bifasciatus,Twobar seabream,Acanthopagrus bifasciatus
Fis-29194,14601,Acanthopagrus,butcheri,Southern black bream,Acanthopagrus butcheri
Fis-160906,63767,Acanthopagrus,chinshira,Okinawan yellow-fin seabream,Acanthopagrus chinshira
Fis-26067,6356,Acanthopagrus,latus,Yellowfin seabream,Acanthopagrus latus
Fis-26856,8110,Acanthopagrus,palmaris,North west black bream,Acanthopagrus palmaris
Fis-150124,6531,Acanthopagrus,schlegelii,Blackhead seabream,Acanthopagrus schlegelii
SLB-140012,122107,Acanthophora,spicifera,Erect sea moss,Acanthophora spicifera
Fis-141738,58053,Acanthoplesiops,echinatus,Hiatt's longfin,Acanthoplesiops echinatus
Fis-51707,17444,Acanthoplesiops,hiatti,Hiatt's basslet,Acanthoplesiops hiatti
Fis-26801,8004,Acanthoplesiops,indicus,Scottie,Acanthoplesiops indicus
Fis-144579,59172,Acanthoplesiops,psilogaster,Barebelly longfin,Acanthoplesiops psilogaster
W-Msc-211919,89029,Acanthopleura,gemmata,northern spined chiton,Acanthopleura gemmata
SLB-80118,58403,Acanthopleura,granulata,West Indian fuzzy chiton,Acanthopleura granulata
W-Msc-211920,89855,Acanthopleura,spinosa,spinose chiton,Acanthopleura spinosa
Fis-33019,8836,Acanthopsetta,nadeshnyi,Scale-eye plaice,Acanthopsetta nadeshnyi
SLB-61546,45396,Acanthoptilum,agassizi,NA,Acanthoptilum agassizi
Fis-57849,25311,Acanthosphex,leurynnis,Wasp-spine velvetfish,Acanthosphex leurynnis
SLB-101871,93061,Acanthosquilla,acanthocarpus,NA,Acanthosquilla acanthocarpus
SLB-101364,92622,Acanthosquilla,derijardi,NA,Acanthosquilla derijardi
ITS-682565,92625,Acanthosquilla,multifasciata,mantis shrimps,Acanthosquilla multifasciata
SLB-154832,129727,Acanthosquilla,wilsoni,NA,Acanthosquilla wilsoni
Fis-53659,23363,Acanthostracion,guineensis,NA,Acanthostracion guineensis
Fis-53665,23370,Acanthostracion,notacanthus,Island cowfish,Acanthostracion notacanthus
Fis-49970,4287,Acanthostracion,polygonius,Honeycomb cowfish,Acanthostracion polygonius
Fis-22736,92,Acanthostracion,quadricornis,Scrawled cowfish,Acanthostracion quadricornis
Fis-30911,4306,Acanthurus,achilles,Achilles tang,Acanthurus achilles
Fis-35635,13770,Acanthurus,albipectoralis,Whitefin surgeonfish,Acanthurus albipectoralis
Fis-31085,4748,Acanthurus,auranticavus,Orange-socket surgeonfish,Acanthurus auranticavus
Fis-29260,942,Acanthurus,bahianus,Ocean surgeon,Acanthurus bahianus
Fis-115360,4307,Acanthurus,bariene,Black-spot surgeonfish,Acanthurus bariene
Fis-31087,4750,Acanthurus,blochii,Ringtail surgeonfish,Acanthurus blochii
Fis-22976,943,Acanthurus,chirurgus,Doctorfish,Acanthurus chirurgus
Fis-29261,944,Acanthurus,coeruleus,Blue tang surgeonfish,Acanthurus coeruleus
Fis-29579,1256,Acanthurus,dussumieri,Eyestripe surgeonfish,Acanthurus dussumieri
Fis-31083,4745,Acanthurus,fowleri,Fowler's surgeonfish,Acanthurus fowleri
Fis-51787,17471,Acanthurus,gahhm,Black surgeonfish,Acanthurus gahhm
Fis-31086,4749,Acanthurus,grammoptilus,Finelined surgeonfish,Acanthurus grammoptilus
Fis-31078,4736,Acanthurus,guttatus,Whitespotted surgeonfish,Acanthurus guttatus
Fis-53679,23375,Acanthurus,japonicus,Japan surgeonfish,Acanthurus japonicus
Fis-31080,4741,Acanthurus,leucocheilus,Palelipped surgeonfish,Acanthurus leucocheilus
Fis-25283,4737,Acanthurus,leucopareius,Whitebar surgeonfish,Acanthurus leucopareius
Fis-29580,1257,Acanthurus,leucosternon,Powderblue surgeonfish,Acanthurus leucosternon
Fis-23320,1258,Acanthurus,lineatus,Lined surgeonfish,Acanthurus lineatus
Fis-25286,4746,Acanthurus,maculiceps,White-freckled surgeonfish,Acanthurus maculiceps
Fis-29578,1255,Acanthurus,mata,Elongate surgeonfish,Acanthurus mata
Fis-29581,1800,Acanthurus,monroviae,Monrovia doctorfish,Acanthurus monroviae
Fis-25952,6011,Acanthurus,nigricans,Whitecheek surgeonfish,Acanthurus nigricans
Fis-31084,4747,Acanthurus,nigricauda,Epaulette surgeonfish,Acanthurus nigricauda
Fis-25284,4739,Acanthurus,nigrofuscus,Brown surgeonfish,Acanthurus nigrofuscus
Fis-31079,4738,Acanthurus,nigroris,Bluelined surgeonfish,Acanthurus nigroris
Fis-25281,4733,Acanthurus,nubilus,Bluelined surgeon,Acanthurus nubilus
Fis-31082,4744,Acanthurus,olivaceus,Orangespot surgeonfish,Acanthurus olivaceus
Fis-25280,4732,Acanthurus,polyzona,Black-barred surgeonfish,Acanthurus polyzona
Fis-31081,4742,Acanthurus,pyroferus,Chocolate surgeonfish,Acanthurus pyroferus
Fis-143896,58792,Acanthurus,reversus,NA,Acanthurus reversus
Fis-25285,4740,Acanthurus,sohal,Sohal surgeonfish,Acanthurus sohal
Fis-4576,1259,Acanthurus,tennentii,Doubleband surgeonfish,Acanthurus tennentii
Fis-25282,4734,Acanthurus,thompsoni,Thompson's surgeonfish,Acanthurus thompsoni
Fis-23321,1260,Acanthurus,triostegus,Convict surgeonfish,Acanthurus triostegus
Fis-35352,12782,Acanthurus,tristis,Indian Ocean mimic surgeonfish,Acanthurus tristis
Fis-29584,1261,Acanthurus,xanthopterus,Yellowfin surgeonfish,Acanthurus xanthopterus
W-Msc-420709,47579,Acar,domingensis,white miniature ark,Acar domingensis
W-Msc-215258,101124,Acar,plicata,NA,Acar plicata
SLB-113349,102356,Acar,revelata,NA,Acar revelata
W-Por-167338,130100,Acarnus,bergquistae,NA,Acarnus bergquistae
W-Por-167340,163064,Acarnus,caledoniensis,NA,Acarnus caledoniensis
W-Por-167343,51543,Acarnus,erithacus,red volcano sponge,Acarnus erithacus
W-Por-167358,130165,Acarnus,wolffgangi,NA,Acarnus wolffgangi
ITS-550413,27743,Acartia,erythraea,NA,Acartia erythraea
SLB-156544,130566,Acasta,conica,NA,Acasta conica
ITS-89654,32286,Acasta,cyathus,sponge barnacle,Acasta cyathus
SLB-156546,130568,Acasta,echinata,NA,Acasta echinata
SLB-156547,130569,Acasta,fenestrata,NA,Acasta fenestrata
SLB-156550,130572,Acasta,japonica,NA,Acasta japonica
ITS-206259,27679,Acasta,spongites,NA,Acasta spongites
W-Hol-214640,83478,Acaudina,leucoprocta,NA,Acaudina leucoprocta
W-Hol-241765,83482,Acaudina,molpadioides,NA,Acaudina molpadioides
W-Iso-258458,23150,Accalathura,crenulata,NA,Accalathura crenulata
W-Iso-213005,10490,Accalathura,gigas,NA,Accalathura gigas
W-Iso-258471,10502,Accalathura,themeda,NA,Accalathura themeda
Fis-50647,17032,Acentrogobius,audax,Mangrove goby,Acentrogobius audax
Fis-25367,4894,Acentrogobius,caninus,Tropical sand goby,Acentrogobius caninus
Fis-56954,25062,Acentrogobius,cyanomos,NA,Acentrogobius cyanomos
Fis-54058,23581,Acentrogobius,janthinopterus,Robust mangrove goby,Acentrogobius janthinopterus
Fis-54060,23582,Acentrogobius,moloanus,Barcheek Amoya,Acentrogobius moloanus
Fis-54062,23583,Acentrogobius,multifasciatus,NA,Acentrogobius multifasciatus
Fis-136797,7228,Acentrogobius,nebulosus,Shadow goby,Acentrogobius nebulosus
Fis-54066,23587,Acentrogobius,suluensis,Sulu goby,Acentrogobius suluensis
Fis-48018,15776,Acentrogobius,viridipunctatus,Spotted green goby,Acentrogobius viridipunctatus
Fis-122026,66887,Acentronura,breviperula,NA,Acentronura breviperula
Fis-50333,16862,Acentronura,tentaculata,Shortpouch pygmy pipehorse,Acentronura tentaculata
Fis-144631,59196,Acentrophryne,longidens,NA,Acentrophryne longidens
ITS-94495,24747,Aceroides,latipes,NA,Aceroides latipes
W-Msc-505416,154288,Acesta,patagonica,deep-water coral clam,Acesta patagonica
W-Msc-505414,84400,Acesta,rathbuni,Rathbun's giant file shell,Acesta rathbuni
SLB-132879,123047,Acetabularia,calyculus,NA,Acetabularia calyculus
SLB-132039,118991,Acetabularia,crenulata,NA,Acetabularia crenulata
SLB-133799,113219,Acetabularia,major,Umbrella weed,Acetabularia major
ITS-95889,25415,Acetes,americanus,aviu shrimp,Acetes americanus
ITS-95897,25417,Acetes,chinensis,northern mauxia shrimp,Acetes chinensis
ITS-95898,25418,Acetes,erythraeus,tsivakihini paste shrimp,Acetes erythraeus
ITS-95902,25421,Acetes,japonicus,akiami paste shrimp,Acetes japonicus
ITS-95913,25428,Acetes,vulgaris,jembret shrimp,Acetes vulgaris
W-Bch-362571,152863,Achaeus,curvirostris,NA,Achaeus curvirostris
W-Msc-293238,72091,Acharax,alinae,NA,Acharax alinae
URM-2-3,56237,Achelia,alaskensis,NA,Achelia alaskensis
URM-2-6,56240,Achelia,assimilis,sea spiders,Achelia assimilis
URM-2-7,56241,Achelia,australiensis,NA,Achelia australiensis
URM-2-11,56245,Achelia,borealis,NA,Achelia borealis
URM-2-18,56252,Achelia,communis,NA,Achelia communis
URM-2-23,56256,Achelia,dohrni,NA,Achelia dohrni
URM-2-24,56257,Achelia,echinata,NA,Achelia echinata
URM-2-29,56262,Achelia,hoekii,NA,Achelia hoekii
URM-2-33,56266,Achelia,laevis,NA,Achelia laevis
URM-2-34,56267,Achelia,lagena,NA,Achelia lagena
URM-2-37,56270,Achelia,latifrons,NA,Achelia latifrons
URM-2-41,56273,Achelia,megova,NA,Achelia megova
URM-2-43,56275,Achelia,nana,NA,Achelia nana
URM-2-49,56281,Achelia,parvula,NA,Achelia parvula
URM-2-50,56282,Achelia,pribilofensis,NA,Achelia pribilofensis
URM-2-51,56283,Achelia,quadridentata,NA,Achelia quadridentata
URM-2-53,56285,Achelia,sawayai,NA,Achelia sawayai
URM-2-56,56288,Achelia,serratipalpis,NA,Achelia serratipalpis
URM-2-63,56295,Achelia,spinosa,NA,Achelia spinosa
URM-2-66,56298,Achelia,superba,NA,Achelia superba
Fis-57183,25164,Achiroides,melanorhynchus,NA,Achiroides melanorhynchus
Fis-32200,7119,Achiropsetta,tricholepis,Prickly flounder,Achiropsetta tricholepis
Fis-26599,7572,Achirus,achirus,Drab sole,Achirus achirus
Fis-128376,52941,Achirus,declivis,Plainfin sole,Achirus declivis
Fis-28883,13429,Achirus,klunzingeri,Brown sole,Achirus klunzingeri
Fis-24400,4256,Achirus,lineatus,Lined sole,Achirus lineatus
Fis-27804,10429,Achirus,mazatlanus,Mazatlan sole,Achirus mazatlanus
Fis-28885,13434,Achirus,scutum,Network sole,Achirus scutum
Fis-29141,14420,Achoerodus,gouldii,Western blue groper,Achoerodus gouldii
Fis-124446,50808,Achoerodus,viridis,Eastern blue groper,Achoerodus viridis
W-Por-171178,162714,Aciculites,orientalis,NA,Aciculites orientalis
W-Msc-506568,47124,Acila,castrensis,divaricate nutclam,Acila castrensis
Fis-29585,2590,Acipenser,brevirostrum,Shortnose sturgeon,Acipenser brevirostrum
Fis-58741,4712,Acipenser,gueldenstaedtii,Danube sturgeon,Acipenser gueldenstaedtii
Fis-29588,2592,Acipenser,medirostris,Green sturgeon,Acipenser medirostris
Fis-33633,9762,Acipenser,mikadoi,Sakhalin sturgeon,Acipenser mikadoi
Fis-29589,2504,Acipenser,naccarii,Adriatic sturgeon,Acipenser naccarii
Fis-29590,2505,Acipenser,nudiventris,Fringebarbel sturgeon,Acipenser nudiventris
Fis-58742,2593,Acipenser,oxyrinchus,Atlantic sturgeon,Acipenser oxyrinchus
Fis-32981,8762,Acipenser,sinensis,Chinese sturgeon,Acipenser sinensis
Fis-29592,2065,Acipenser,stellatus,Starry sturgeon,Acipenser stellatus
Fis-29593,2066,Acipenser,sturio,Sturgeon,Acipenser sturio
Fis-29594,2594,Acipenser,transmontanus,White sturgeon,Acipenser transmontanus
W-Msc-159951,3199,Acirsa,borealis,chalky wentletrap,Acirsa borealis
W-Msc-368475,1615,Aclis,hendersoni,angular aclis,Aclis hendersoni
W-Msc-456582,2684,Acmaea,mitra,Dunce cap limpet,Acmaea mitra
W-Pol-332884,100996,Acoetes,melanota,NA,Acoetes melanota
ITS-202965,9562,Acontiostoma,marionis,NA,Acontiostoma marionis
SLB-113221,102235,Acorylus,gouldii,NA,Acorylus gouldii
Fis-55105,24250,Acreichthys,hajam,NA,Acreichthys hajam
Fis-26784,7974,Acreichthys,radiatus,Radial leatherjacket,Acreichthys radiatus
Fis-26724,7849,Acreichthys,tomentosus,Bristle-tail file-fish,Acreichthys tomentosus
W-Bra-458893,89070,Acrobrochus,blochmanni,NA,Acrobrochus blochmanni
W-Bra-235450,89073,Acrobrochus,vema,NA,Acrobrochus vema
ITS-667088,28275,Acrocalanus,gibber,NA,Acrocalanus gibber
Rep-196,68532,Acrochordus,granulatus,file snake,Acrochordus granulatus
W-Oph-236130,50298,Acrocnida,brachiata,sand burrowing brittle star,Acrocnida brachiata
Fis-143312,58525,Acromycter,alcocki,NA,Acromycter alcocki
Fis-143314,58526,Acromycter,atlanticus,NA,Acromycter atlanticus
Fis-53437,23291,Acromycter,nezumi,NA,Acromycter nezumi
Fis-33256,9232,Acropoma,hanedai,NA,Acropoma hanedai
Fis-47983,1267,Acropoma,japonicum,Glowbelly,Acropoma japonicum
Fis-144574,59169,Acropoma,lecorneti,NA,Acropoma lecorneti
URM-Cn-4708,46023,Acropora,abrolhosensis,NA,Acropora abrolhosensis
SLB-93391,86975,Acropora,abrotanoides,NA,Acropora abrotanoides
URM-Cn-4709,46132,Acropora,aculeus,bottlebrush acropora,Acropora aculeus
URM-Cn-4710,46241,Acropora,acuminata,NA,Acropora acuminata
URM-Cn-4711,46350,Acropora,akajimensis,NA,Acropora akajimensis
URM-Cn-4712,46459,Acropora,anthocercis,NA,Acropora anthocercis
URM-Cn-4713,46568,Acropora,arabensis,NA,Acropora arabensis
URM-Cn-4714,46679,Acropora,aspera,green staghorn coral,Acropora aspera
URM-Cn-4715,46790,Acropora,austera,stony coral colonies,Acropora austera
URM-Cn-4717,45892,Acropora,azurea,NA,Acropora azurea
URM-Cn-4718,45912,Acropora,batunai,NA,Acropora batunai
SLB-93454,87007,Acropora,bifurcata,plating acropora coral,Acropora bifurcata
URM-Cn-4721,45968,Acropora,bushyensis,bushy acropora,Acropora bushyensis
URM-Cn-4723,45990,Acropora,carduus,NA,Acropora carduus
URM-Cn-4724,46001,Acropora,caroliniana,NA,Acropora caroliniana
URM-Cn-4725,46012,Acropora,cerealis,NA,Acropora cerealis
URM-Cn-4726,46024,Acropora,cervicornis,staghorn coral,Acropora cervicornis
URM-Cn-4727,46035,Acropora,chesterfieldensis,NA,Acropora chesterfieldensis
URM-Cn-4728,46046,Acropora,clathrata,table coral,Acropora clathrata
SLB-93689,87119,Acropora,cophodactyla,NA,Acropora cophodactyla
URM-Cn-4733,46101,Acropora,cytherea,tabling acropora,Acropora cytherea
